Number of Contributors,Reside in US,Age,Relationship Status,Country,Currency Used,Financially Independent,FI Number,Percent of FI Amount,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,FI Number [Retired],Retired,Intended Retirement Age,Work if FI,Annual Withdrawal Rate,Annual Withdrawal Amount,Working Industry,Employer Type,Job Role,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,Yes,34-38,Married,,USD,No,1600000.0,73.0,1700000.0,3.44,27218.0,55000.0,,,39-43,Yes,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,2277001.0,354907.0,115708.0,185411.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,750000.0,20.0,1000000.0,4.5,20000.0,35000.0,,,Undecided,Partially,,,Healthcare,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,192000.0,2000.0,17500.0,85000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,13.3,2500000.0,3.0,300000.0,120000.0,,,44-48,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,523000.0,327000.0,42500.0,102000.0,2020
2,Yes,39-43,Married,,USD,No,7500000.0,54.0,11000000.0,3.0,60000.0,225000.0,,,54-58,Undecided,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,91-100,4295000.0,0.0,369600.0,370000.0,2020
1,Yes,24-28,Married,,USD,No,2000000.0,15.0,2000000.0,4.0,,85000.0,,,34-38,Undecided,,,Real Estate,Self-employed,Professional (licensed / certificated),For Myself (Self-Employed),,,,Own,91-100,965000.0,25200.0,50484.0,212000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,1000000.0,44.0,1300000.0,3.2,0.0,40000.0,,,44-48,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,1017000.0,307000.0,75640.0,133000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,15.0,1500000.0,5.0,60000.0,70000.0,,,54-58,Partially,,,Information Technology,Public agency,Information Technology,For an Organization (Employed),,For an Organization (Employed),,Live with family or friends,71-80,187000.0,0.0,7000.0,75000.0,2020
1,Yes,29-33,Divorced,,USD,No,1000000.0,51.0,1200000.0,3.5,,45000.0,,,39-43,Yes,,,Natural Resources,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,91-100,872000.0,218000.0,120000.0,120000.0,2020
2,Yes,34-38,Married,,USD,No,2000000.0,39.0,300000.0,3.5,20000.0,70000.0,,,44-48,No,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,1051033.0,227000.0,239000.0,296000.0,2020
2,Yes,29-33,Married,,USD,No,1000000.0,24.0,1000000.0,4.0,20000.0,40000.0,,,49-53,Yes,,,Manufacturing,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,790000.0,300000.0,141000.0,164000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,10.0,8000000.0,3.0,10000.0,90000.0,,,69+,No,,,Manufacturing,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,276000.0,64000.0,93175.0,98400.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,Yes,,,,,,,2100000.0,No,39-43,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,91-100,2809000.0,500000.0,91684.0,156000.0,2020
2,Yes,29-33,Married,,USD,No,2500000.0,14.0,2500000.0,4.0,0.0,60000.0,,,39-43,Undecided,,,Manufacturing,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,631500.0,0.0,110000.0,200000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,30.0,1500000.0,3.0,0.0,40000.0,,,34-38,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,51-60,390000.0,0.0,54000.0,92000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,,,,,,,300000.0,No,34-38,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,61-70,310000.0,50.0,45250.0,95000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,3500000.0,4.0,3500000.0,5.0,30000.0,175000.0,,,54-58,Undecided,,,"Arts, Entertainment, Recreation",Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Rent,81-90,123120.0,0.0,100863.0,105000.0,2020
2,Yes,39-43,Married,,USD,No,600000.0,58.0,750000.0,4.0,,30000.0,,,49-53,Undecided,,,Education,Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,562000.0,130000.0,126100.0,110000.0,2020
2,Yes,24-28,Married,,USD,No,,,,,,,,,Undecided,No,,,Education,Public agency,,For an Organization (Employed),,,,Rent,61-70,160469.0,0.0,61146.0,72847.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,,,,,,,3000000.0,No,39-43,Partially,,,Other Services,Private corporation,Information Technology,For an Organization (Employed),,,,Own,101-110,335700.0,130000.0,112200.0,110000.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,60.0,3000000.0,3.5,15000.0,100000.0,,,34-38,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,1805000.0,0.0,684700.0,690000.0,2020
2,Yes,24-28,Married,,USD,No,2300000.0,17.4,3000000.0,3.5,10000.0,75000.0,,,49-53,Yes,,,Utilities,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,61-70,435000.0,7000.0,128528.0,150000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1500000.0,14.0,2500000.0,3.5,,75000.0,,,34-38,Undecided,,,Financial Services,Private corporation,Consultant,For an Organization (Employed),,,,Live with family or friends,81-90,218000.0,1500.0,100000.0,97000.0,2020
1,Yes,29-33,Married,,USD,No,2500000.0,15.0,3000000.0,3.5,100000.0,100000.0,,,49-53,Partially,,,Natural Resources,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,767000.0,208000.0,169130.11,148820.0,2020
1,Yes,34-38,Married,,USD,No,1500000.0,25.0,2000000.0,3.5,25.0,60000.0,,,54-58,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,923397.29,65800.0,105428.0,115000.0,2020
2,Yes,34-38,Married,,USD,No,1750000.0,84.0,2000000.0,3.5,22000.0,70000.0,,,34-38,Yes,,,Manufacturing,Private corporation,,For an Organization (Employed),,,,Own,61-70,2337500.0,275000.0,192900.0,215000.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,55.0,3000000.0,3.0,0.0,100000.0,,,34-38,Partially,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Live with family or friends,81-90,1600000.0,0.0,515500.0,550000.0,2020
1,Yes,39-43,Married,,USD,No,2500000.0,92.0,5000000.0,3.5,,,,,49-53,Undecided,,,Information Technology,Self-employed,Consultant,For Myself (Self-Employed),,,,Own,61-70,2735000.0,551000.0,195500.0,250000.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,33.0,6000000.0,3.5,50000.0,200000.0,,,44-48,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,1210000.0,140000.0,322300.0,350000.0,2020
1,Yes,18-23,"Single, never married",,USD,No,1500000.0,6.67,2300000.0,3.47,0.0,80000.0,,,44-48,Yes,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,100802.0,0.0,110675.0,131500.0,2020
2,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,22.5,2000000.0,3.5,,60000.0,,,Undecided,Partially,,,Public Administration (Civilian Government),Public agency,,,,,For an Organization (Employed),Rent,81-90,541650.0,0.0,187000.0,218000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,Yes,,,,,,,5000000.0,No,Undecided,No,,,Information Technology,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,91-100,11425000.0,880000.0,649500.0,500000.0,2020
2,Yes,24-28,Married,,USD,No,1100000.0,66.0,2500000.0,3.0,,75000.0,,,44-48,Undecided,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,81-90,714000.0,0.0,124800.0,174000.0,2020
2,Yes,44-48,Married,,USD,Yes,,,,,,,1500000.0,No,49-53,No,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,3935500.0,730000.0,167500.0,310000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,23.0,4000000.0,4.0,40000.0,160000.0,,,44-48,Partially,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Live with family or friends,61-70,342000.0,23000.0,76669.58,118000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,9.0,1000000.0,3.5,15000.0,25000.0,,,Undecided,Partially,,,Public Administration (Civilian Government),Public agency,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,61-70,94000.0,0.0,34320.0,77000.0,2020
1,Yes,39-43,"In a relationship, but not married",,USD,No,1250000.0,43.0,1500000.0,4.0,12000.0,60000.0,,,49-53,Undecided,,,Healthcare,Nonprofit corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,533000.0,0.0,135350.0,175000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1500000.0,13.0,,3.5,,40000.0,,,34-38,Partially,,,Public Administration (Civilian Government),Nonprofit corporation,Consultant,For an Organization (Employed),,,,Rent,31-40,190201.0,0.0,131684.0,96450.0,2020
2,Yes,34-38,Married,,USD,No,2500000.0,20.0,2500000.0,4.0,35000.0,100000.0,,,49-53,Yes,,,Information Technology,Private corporation,Consultant,For an Organization (Employed),,,,Own,61-70,899000.0,261000.0,87450.0,173000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,750000.0,95000.0,1300000.0,4.0,25000.0,65000.0,,,49-53,Undecided,,,Public Administration (Civilian Government),Public agency,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Own,71-80,245000.0,115000.0,42750.0,80000.0,2020
1,Yes,39-43,"Single, never married",,USD,No,2000000.0,80.0,2000000.0,4.0,,,,,Undecided,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,1508000.0,0.0,166745.0,180000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,9.5,1500000.0,3.0,12000.0,30000.0,,,49-53,Undecided,,,Education,Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,445800.0,3000.0,47400.0,70000.0,2020
2,Yes,29-33,Married,,USD,No,2000000.0,40.0,3000000.0,3.5,0.0,70000.0,,,44-48,Undecided,,,Healthcare,Public corporation,General Labor,For an Organization (Employed),,,,Own,71-80,1110000.0,330000.0,137000.0,300000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,35.0,1700000.0,3.25,20000.0,40000.0,,,39-43,Partially,,,Manufacturing,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,353000.0,0.0,103440.0,97000.0,2020
1,Yes,39-43,"Single, never married",,USD,No,1000000.0,20.0,1250000.0,4.0,,50000.0,,,49-53,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,543000.0,344000.0,140800.0,140000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,11.0,4000000.0,3.25,0.0,130000.0,,,44-48,Partially,,,Information Technology,Private corporation,Consultant,For an Organization (Employed),,,,Rent,81-90,220.0,0.0,23675.0,100.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,1125000.0,65.1,1250000.0,4.0,15000.0,40000.0,,,39-43,Partially,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,973000.0,57000.0,0.0,140000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,3000000.0,33.0,5000000.0,3.5,60000.0,180000.0,,,54-58,Partially,,,Healthcare,Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,61-70,1004000.0,0.0,182960.0,230000.0,2020
2,Yes,18-23,"In a relationship, but not married",,USD,No,1300000.0,0.8,1300000.0,3.5,0.0,50000.0,,,54-58,Undecided,,,Financial Services,Public corporation,,For an Organization (Employed),,,,Rent,71-80,35800.0,25000.0,39540.0,86000.0,2020
1,Yes,34-38,"Single, never married",,USD,No,2000000.0,50.0,200000.0,4.0,50000.0,80000.0,,,49-53,Yes,,,Public Administration (Civilian Government),Public agency,Management - Middle / Lower,For an Organization (Employed),,,,Provided by employer or school,31-40,0.0,0.0,0.0,,2020
1,Yes,29-33,"In a relationship, but not married",,USD,Yes,,,6000000.0,3.5,,120000.0,,,54-58,Yes,,,"Arts, Entertainment, Recreation",Public corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,81-90,1270000.0,0.0,165800.0,210000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1600000.0,8.0,1500000.0,3.5,120000.0,60000.0,,,54-58,Partially,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,81-90,472000.0,335000.0,66100.0,106000.0,2020
2,Yes,29-33,Married,,USD,No,2000000.0,25.0,2000000.0,3.5,36000.0,70000.0,,,39-43,Partially,,,Utilities,Public corporation,Program Staff,For an Organization (Employed),,,,Own,71-80,2000000.0,465000.0,252500.0,278000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1315000.0,35.0,2000000.0,3.65,750.0,48000.0,,,39-43,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,452000.0,500.0,202900.0,230000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2100000.0,15.0,2100000.0,3.25,0.0,70000.0,,,34-38,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,71-80,329500.0,0.0,77300.0,180000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,500000.0,25.0,1000000.0,4.0,12000.0,20000.0,,,34-38,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,500000.0,185000.0,21400.0,80000.0,2020
1,Yes,39-43,"Single, never married",,USD,No,1500000.0,54.0,1500000.0,4.0,50000.0,100000.0,,,44-48,Yes,,,Military,Public agency,Management - Middle / Lower,For an Organization (Employed),,,,Provided by employer or school,31-40,810000.0,0.0,127200.0,94000.0,2020
1,Yes,24-28,Married,,USD,No,2000000.0,10.0,2000000.0,4.0,40000.0,80000.0,,,49-53,Yes,,,Military,Public agency,Management - Middle / Lower,For an Organization (Employed),,,,Provided by employer or school,81-90,155500.0,0.0,113500.0,108000.0,2020
2,Yes,24-28,Married,,USD,No,1000000.0,5.4,1250000.0,4.0,0.0,40000.0,,,44-48,Undecided,,,Manufacturing,Public corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Rent,61-70,99000.0,15000.0,108500.0,112000.0,2020
1,Yes,18-23,"In a relationship, but not married",,USD,No,5000000.0,0.07,,,,,,,54-58,Undecided,,,Other Services,Private corporation,Customer Service,,For Myself (Self-Employed),For an Organization (Employed),,Live with family or friends,91-100,357400.0,750.0,25120.0,1400.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,5.0,4000000.0,4.0,350000.0,250000.0,,,59-63,No,,,Public Administration (Civilian Government),Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,81-90,300000.0,280000.0,265000.0,350000.0,2020
2,Yes,34-38,Married,,USD,No,3000000.0,20.0,3000000.0,3.27,24000.0,100000.0,,,54-58,Yes,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,81-90,1193050.0,428000.0,88700.0,180000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2500000.0,20.0,5000000.0,4.0,15000.0,50000.0,,,59-63,Partially,,,Transportation,Public corporation,Consultant,For an Organization (Employed),,,,Rent,61-70,423000.0,0.0,188920.0,191000.0,2020
2,Yes,29-33,"Single, never married",,USD,No,1500000.0,15.0,1500000.0,3.0,0.0,35000.0,,,44-48,Yes,,,Other Services,Public agency,Consultant,For an Organization (Employed),,,,Own,61-70,250000.0,150000.0,15500.0,45000.0,2020
2,Yes,49-53,Married,,USD,No,2500000.0,50.0,2000000.0,4.0,160000.0,80000.0,,,59-63,No,,,Information Technology,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,1995000.0,7.0,241503.0,280000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,750000.0,45.14,1500000.0,3.0,31200.0,40000.0,,,39-43,Partially,,,Manufacturing,Private corporation,Consultant,For an Organization (Employed),,,,Own,61-70,484752.0,79001.0,53850.0,55800.0,2020
2,Yes,39-43,Married,,USD,No,2500000.0,60.0,2500000.0,3.5,20000.0,75000.0,,,44-48,Yes,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,2064000.0,155000.0,222500.0,230000.0,2020
2,Yes,29-33,Married,,USD,No,3300000.0,30.0,,3.0,70000.0,90000.0,,,54-58,No,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,91-100,1020000.0,0.0,232302.0,220000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,500000.0,12.0,350000.0,5.0,10000.0,35000.0,,,49-53,Partially,,,"Trade, transportation, utilities",Private corporation,Customer Service,For an Organization (Employed),,For Myself (Self-Employed),,Rent,81-90,57000.0,4000.0,39450.0,64500.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,1200000.0,42.0,1200000.0,3.5,25000.0,40000.0,,,39-43,Partially,,,Financial Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,61-70,520000.0,6000.0,110000.0,110000.0,2020
1,Yes,34-38,Married,,USD,No,1500000.0,15.3,2000000.0,3.0,2200.0,60000.0,,,49-53,Undecided,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,81-90,634484.0,49865.0,129177.0,140000.0,2020
2,Yes,34-38,"In a relationship, but not married",,USD,No,,,,4.0,,,,,59-63,Partially,,,"Arts, Entertainment, Recreation",Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Rent,101-110,130000.0,0.0,43200.0,55000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,3000000.0,21.0,3000000.0,3.3,0.0,100000.0,,,54-58,Undecided,,,Utilities,Nonprofit corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,900000.0,48500.0,109550.0,110000.0,2020
2,Yes,29-33,Married,,USD,No,,,,,,,1000000.0,No,34-38,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,630000.0,0.0,0.0,300000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2000000.0,14.0,2000000.0,3.5,,70000.0,,,Undecided,Yes,,,Professional & Business Services,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,277000.0,9000.0,28500.0,101000.0,2020
2,Yes,29-33,Married,,USD,No,1385000.0,17.0,1700000.0,3.5,,48500.0,,,44-48,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,573500.0,162000.0,149950.0,152500.0,2020
2,Yes,24-28,Married,,USD,No,2500000.0,10.0,2500000.0,3.0,12000.0,75000.0,,,44-48,Yes,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,505200.0,258000.0,92300.0,87500.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,14.0,2000000.0,4.0,0.0,80000.0,,,54-58,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For an Organization (Employed),,Own,61-70,408336.0,199880.0,70490.0,72363.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,2000000.0,70.0,3500000.0,3.0,20000.0,100000.0,,,39-43,No,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,1464700.0,0.0,532095.0,525000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,750000.0,30.0,900000.0,4.0,,,,,44-48,Undecided,,,"Agriculture, Forestry, Fishing",Nonprofit corporation,Program Staff,For an Organization (Employed),,,,Rent,71-80,221462.0,0.0,25089.0,55000.0,2020
2,Yes,24-28,Married,,USD,No,2000000.0,15.0,2000000.0,3.5,30000.0,70000.0,,,49-53,Yes,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,445500.0,218000.06000000008,76500.04999999999,130000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,1500000.0,46.0,3000000.0,5.0,20000.0,70000.0,,,Undecided,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Own,61-70,1066000.0,1000.0,86116.2,122500.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,,,,,,,,,49-53,Undecided,,,"Trade, transportation, utilities",Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Live with family or friends,61-70,147816.0,0.0,1592.0,83570.0,2020
2,Yes,29-33,Married,,USD,No,1500000.0,20.0,1500000.0,2.0,30000.0,30000.0,,,39-43,Yes,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,670000.0,224000.0,116500.0,140000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,800000.0,62.0,800000.0,4.0,,32000.0,,,34-38,Undecided,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,502000.0,0.0,109100.0,102000.0,2020
1,Yes,29-33,,,USD,No,1200000.0,49.0,1000000.0,4.0,60000.0,60000.0,,,44-48,Partially,,,Financial Services,Nonprofit corporation,Management - Upper,For an Organization (Employed),,,,Own,91-100,571000.0,92000.0,101460.0,119000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,4000000.0,12.0,4000000.0,4.0,0.0,50000.0,,,49-53,Yes,,,Healthcare,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Live with family or friends,81-90,472500.0,0.0,2300.0,160000.0,2020
2,Yes,34-38,Married,,USD,No,1000000.0,66.0,1200000.0,3.5,2400.0,0.0,,,34-38,Yes,,,"Agriculture, Forestry, Fishing",Private corporation,Management - Upper,For an Organization (Employed),,,,Own,81-90,1675500.0,425001.0,16650.0,120000.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,6.5,3000000.0,3.5,,80000.0,,,49-53,Partially,,,Construction,Private corporation,Professional (licensed / certificated),For Myself (Self-Employed),,,,Own,71-80,485583.0,221500.0,142439.0,205000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1333333.0,25.0,1666666.0,3.0,2000.0,50000.0,,,34-38,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,349600.0,0.0,228700.0,232139.0,2020
1,Yes,18-23,"Single, never married",,USD,No,1500000.0,10.0,1500000.0,4.0,,60000.0,,,Undecided,Undecided,,,Military,Public agency,Management - Middle / Lower,For an Organization (Employed),,,,Rent,51-60,160550.0,9000.0,64100.0,60000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1250000.0,33.0,,3.25,,55000.0,,,44-48,Partially,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Rent,81-90,553000.0,225.0,157829.0,170000.0,2020
2,Yes,34-38,"In a relationship, but not married",,USD,No,1000000.0,60.0,1300000.0,4.0,15000.0,40000.0,,,44-48,No,,,Manufacturing,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,1004000.0,210000.0,42000.0,140000.0,2020
1,Yes,34-38,Married,,USD,No,1800000.0,16.0,2000000.0,3.5,,65000.0,,,49-53,Undecided,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,641000.0,137000.0,13200.0,134000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1200000.0,19.0,2000000.0,3.5,500.0,45000.0,,,59-63,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,242965.0,0.0,24800.0,173570.0,2020
1,Yes,34-38,"Single, never married",,USD,No,2000000.0,12.5,2000000.0,4.0,3150.0,42200.0,,,49-53,Partially,,,Healthcare,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,91-100,251000.0,6.0,59787.0,189000.0,2020
2,Yes,39-43,Married,,USD,No,,,,,,,,No,39-43,Partially,,,Real Estate,Self-employed,,For Myself (Self-Employed),,,,Own,61-70,945000.0,65000.0,0.0,116000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1250000.0,22.0,2000000.0,4.0,,50000.0,,,34-38,Undecided,,,Financial Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,305000.0,9200.0,108002.0,172400.0,2020
2,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,1.0,2500000.0,4.0,40000.0,60000.0,,,64-68,No,,,Public Administration (Civilian Government),Public agency,Program Staff,For an Organization (Employed),,,,Own,61-70,305500.0,0.0,2100.0,40000.0,2020
1,Yes,29-33,Married,,USD,No,2500000.0,28.0,3000000.0,4.0,5000.0,100000.0,,,44-48,Partially,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,51-60,965000.0,249000.0,345000.0,571000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,44.0,2000000.0,3.5,12000.0,40000.0,,,39-43,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,51-60,436481.0,0.0,121253.0,133180.0,2020
2,Yes,24-28,Married,,USD,No,3000000.0,0.0,6000000.0,4.0,0.0,200000.0,,,54-58,No,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),,,,For an Organization (Employed),Rent,91-100,40000.0,60000.0,40550.0,50000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,1650000.0,19.0,1650000.0,3.0,37000.0,45000.0,,,54-58,Undecided,,,Professional & Business Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,322000.0,24000.0,89521.0,125557.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1350000.0,30.0,1600000.0,4.0,,55000.0,,,44-48,Partially,,,Manufacturing,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,385000.0,6100.0,120074.0,135000.0,2020
1,Yes,24-28,"Single, never married",,USD,Yes,,0.0,,2.0,50000.0,200000.0,,,54-58,Undecided,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,61-70,70000.0,280000.0,0.0,65000.0,2020
2,Yes,39-43,Married,,USD,No,1500000.0,95.0,1500000.0,3.25,75000.0,40000.0,,,39-43,Partially,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),For Myself (Self-Employed),For Myself (Self-Employed),,Own,71-80,3066000.0,721000.0,158000.0,230000.0,2020
1,Yes,34-38,"Single, never married",,USD,No,1000000.0,37.0,1200000.0,3.5,15000.0,40000.0,,,44-48,Partially,,,Information Technology,Public agency,Information Technology,For an Organization (Employed),,,,Own,71-80,803000.0,62000.0,73000.0,70000.0,2020
